Joueur,Club,Nationalité,Âge,Poste,Valeur_str,Valeur_EUR
João Neves,"110,00 mio. €",Portugal,21.0,,"110,00 mio. €",
Vitinha,"110,00 mio. €",Portugal,26.0,,"110,00 mio. €",
Ousmane Dembélé,"100,00 mio. €",France,28.0,,"100,00 mio. €",
Désiré Doué,"90,00 mio. €",France,20.0,,"90,00 mio. €",
Khvicha Kvaratskhelia,"90,00 mio. €",Géorgie,25.0,,"90,00 mio. €",
Achraf Hakimi,"80,00 mio. €",Maroc,27.0,,"80,00 mio. €",
Nuno Mendes,"75,00 mio. €",Portugal,23.0,,"75,00 mio. €",
Bradley Barcola,"70,00 mio. €",France,23.0,,"70,00 mio. €",
Willian Pacho,"70,00 mio. €",Équateur,24.0,,"70,00 mio. €",
Warren Zaïre-Emery,"60,00 mio. €",France,10.0,,"60,00 mio. €",
Mason Greenwood,"55,00 mio. €",Angleterre,11.0,,"55,00 mio. €",
Jérémy Jacquet,"55,00 mio. €",France,12.0,,"55,00 mio. €",
Maghnes Akliouche,"50,00 mio. €",France,13.0,,"50,00 mio. €",
Ayyoub Bouaddi,"50,00 mio. €",France,14.0,,"50,00 mio. €",
Ilya Zabarnyi,"45,00 mio. €",Ukraine,15.0,,"45,00 mio. €",
Senny Mayulu,"40,00 mio. €",France,16.0,,"40,00 mio. €",
Fabián Ruiz,"40,00 mio. €",Espagne,17.0,,"40,00 mio. €",
Ethan Nwaneri,"40,00 mio. €",Angleterre,18.0,,"40,00 mio. €",
Valentín Barco,"35,00 mio. €",Argentine,19.0,,"35,00 mio. €",
Joaquín Panichelli,"35,00 mio. €",Argentine,20.0,,"35,00 mio. €",
Lamine Camara,"35,00 mio. €",Sénégal,21.0,,"35,00 mio. €",
Gonçalo Ramos,"35,00 mio. €",Portugal,22.0,,"35,00 mio. €",
Igor Paixão,"35,00 mio. €",Brésil,23.0,,"35,00 mio. €",
Endrick,"35,00 mio. €",Brésil,24.0,,"35,00 mio. €",
Folarin Balogun,"30,00 mio. €",États-Unis,25.0,,"30,00 mio. €",
Warren Zaïre-Emery,,,,,"60,00 mio. €",
Mason Greenwood,,,,,"55,00 mio. €",
Jérémy Jacquet,,,,,"55,00 mio. €",
Maghnes Akliouche,,,,,"50,00 mio. €",
Ayyoub Bouaddi,,,,,"50,00 mio. €",
